,name,overview,anilist_genres,origin_country,original_language,original_name,first_air_date,year,total_fans,combined_average_score,tmdb_popularity,tmdb_users,vote_average,anilist_users,anilist_average_score,source_material,is_adult,tmdb_id,anilist_id
985,Ai Tenchi Muyo!,,"['Comedy', 'Sci-Fi']",['JP'],ja,愛・天地無用！,2014-10-06,2014,4263.0,54.77762139338494,2.819,20,7.6,4243.0,55.0,MANGA,False,76645,20726.0
986,Rage of Bahamut,"Two thousand years ago, the black-and-silver-winged dragon, Bahamut, terrorized the magical land of Mistarcia. The humans, god, and demons that inhabited the land united forces against the fiend and sealed its power into a key which was split in two, one half protected by gods and the other protected by demons. Now, Mistarcia is a peaceful realm – until a human woman steals the god’s half of the key. Based on the immensely popular digital card game, Rage of Bahamut: Genesis is an exciting blend of action and fantasy.",,['JP'],ja,神撃のバハムート,2014-10-06,2014,61.0,8.1,28.289,61,8.1,,,,,61445,
987,Merman in My Tub,"Tatsumi is a high school student who lives on his own, until a merman named Wakasa takes up residence in his bathtub. His solitary lifestyle is turned upside down by the self-centered (but handsome) new roommate.","['Comedy', 'Fantasy', 'Slice of Life']",['JP'],ja,オレん家のフロ事情,2014-10-06,2014,13208.0,65.9778921865536,6.704,5,7.6,13203.0,66.0,MANGA,False,61435,20720.0
988,Mysterious Joker,"The thief Mysterious Joker doesn't just steal things. An audacious and elusive miracle-maker, he travels the world searching for treasure with his partner and cook Hachi. As they circle the globe, they must avoid traps set by the police and compete in various competitions to reach their final goal, the Timeslip Treasure.",['Mystery'],['JP'],ja,怪盗ジョーカー,2014-10-06,2014,2005.0,63.94413965087282,1.284,2,8.0,2003.0,64.0,MANGA,False,61434,20818.0
989,Wolf Girl & Black Prince,"Erika Shinohara has taken to lying about her romantic exploits to earn the respect of her new friends. So when they ask for a picture of her ""boyfriend,"" she hastily snaps a photo of a handsome stranger, whom her friends recognize as the popular and kind-hearted Kyouya Sata.

Trapped in her own web of lies and desperately trying to avoid humiliation, Erika explains her predicament to Kyouya, hoping he will pretend to be her boyfriend. But Kyouya is not the angel he appears to be: he is actually a mean-spirited sadist who forces Erika to become his ""dog"" in exchange for keeping her secret.

Begrudgingly accepting his deal, Erika soon begins to see glimpses of the real Kyouya beneath the multiple layers of his outer persona. As she finds herself falling for him, she can't help but question if he will ever feel the same way about her. Will Kyouya finally make an honest woman out of Erika, or is she destined to be a ""wolf girl"" forever?","['Comedy', 'Romance', 'Slice of Life']",['JP'],ja,オオカミ少女と黒王子,2014-10-05,2014,45202.0,67.98107605858148,10.971,14,6.9,45188.0,68.0,MANGA,False,68960,20701.0
990,Celestial Method,"The story begins one winter day when the wish of a few girls was realized with a miracle, changing the landscape of a town. ""In the skies above this town, a disc is always there.""","['Drama', 'Fantasy', 'Slice of Life']",['JP'],ja,天体のメソッド,2014-10-05,2014,18121.0,63.99039788091165,7.405,3,6.0,18118.0,64.0,ORIGINAL,False,66716,20672.0
991,The Seven Deadly Sins,"The “Seven Deadly Sins”—a group of evil knights who conspired to overthrow the kingdom of Britannia—were said to have been eradicated by the Holy Knights, although some claim that they still live. Ten years later, the Holy Knights have staged a Coup d'état and assassinated the king, becoming the new, tyrannical rulers of the kingdom. Elizabeth, the king's only daughter, sets out on a journey to find the “Seven Deadly Sins,” and to enlist their help in taking back the kingdom.","['Action', 'Adventure', 'Comedy', 'Ecchi', 'Fantasy', 'Supernatural']",['JP'],ja,七つの大罪,2014-10-05,2014,217917.0,75.0340808656507,52.861,3123,8.6,214794.0,76.0,MANGA,False,62104,20789.0
992,World Trigger,"A gate to another dimension has burst open, and from it emerge gigantic invincible creatures that threaten all of humanity. Earth's only defense is a mysterious group of warriors who have co-opted the alien technology in order to fight back!","['Action', 'Adventure', 'Sci-Fi', 'Supernatural']",['JP'],ja,ワールドトリガー,2014-10-05,2014,39841.0,70.98743003438669,47.485,8,8.4,39833.0,71.0,MANGA,False,61628,20729.0
993,Gugure! Kokkuri-san,"A little girl named Kohina ends up summoning a Kokkuri-san, a lower-ranking ghost in Japanese folklore. The Kokkuri-san she calls ends up being a white-haired handsome, young man. Although he had intended to merely haunt her at first, he becomes worried about her terrible eating habit of cup ramen for every meal, so he decides to haunt her in order to protect her.","['Comedy', 'Supernatural']",['JP'],ja,繰繰れ！コックリさん,2014-10-05,2014,22718.0,71.98560612729995,8.976,5,6.6,22713.0,72.0,MANGA,False,61432,20656.0
994,Cross Ange: Rondo of Angels and Dragons,"Humanity has advanced to great heights since it obtained the information technology known as ""Mana."" With that nearly magical power, problems like war, food shortages, and pollution have been eliminated. This age of peace and freedom, the Empress Angelese of the Misurugi Empire is a privileged girl with no disabilities. She learns, however, that she is a ""Norma,"" a kind of human who cannot use Mana and are outcasts of society. Having lost everything, she is sent to an isolated island. There she meets other Normas who ride in humanoid weapons called Para-mails, protecting the world from dragons invaders from another dimension.","['Action', 'Ecchi', 'Mecha', 'Romance', 'Sci-Fi']",['JP'],ja,クロスアンジュ 天使と竜の輪舞,2014-10-05,2014,23117.0,68.84507937881213,20.714,59,8.3,23058.0,69.0,ORIGINAL,False,61425,20806.0
995,The Fruit of Grisaia,"Mihama Academy—on the surface, a closed learning environment established to nurture students who find themselves at odds with the world around them; in actuality, an orchard-cum-prison built to preserve fruit that has fallen too far from its tree. Yet with the arrival of the institute's first male student, the nearly preposterously opaque Kazami Yuuji, the students at Mihama begin to fall out of step with their predetermined rhythms. Will Yuuji prove to be the element the girls around him needed to take hold of their lives once more, or will the weight of their pasts prove too steep a wall to overcome?","['Drama', 'Ecchi', 'Psychological', 'Romance']",['JP'],ja,グリザイアの果実,2014-10-05,2014,63972.0,71.983892953167,27.565,16,7.6,63956.0,72.0,VISUAL_NOVEL,False,61422,17729.0
996,In Search of the Lost Future,,"['Drama', 'Romance', 'Supernatural']",['JP'],ja,失われた未来を求めて,2014-10-04,2014,13018.0,61.99162697803042,0.787,2,7.5,13016.0,62.0,VISUAL_NOVEL,False,77294,20591.0
997,Lord Marksman and Vanadis,"Tigrevurmud Vorn, the young lord of a remote region far from the kingdom's center, is commanded by the king to go fight the war against a neighboring country. The leader of the enemy is Eleonora Viltaria, one of the seven Vanadis given supernatural arms from a dragon. The moment when an archer boy and the silver-haired beautiful war maiden meet, it is the beginning for the legend of a hero that will be told for generations to come.","['Adventure', 'Ecchi', 'Fantasy', 'Romance']",['JP'],ja,魔弾の王と戦姫,2014-10-04,2014,1570.0,70.55579617834395,5.88,11,7.6,1559.0,71.0,LIGHT_NOVEL,False,72699,73391.0
998,Magic Kaito 1412,"Eight years after the mysterious death of his father, Kaito Kuroba, a slightly mischievous but otherwise ordinary teenager, discovers a shocking secret: the Phantom Thief Kaito Kid—also known as ""The Magician Under the Moonlight""—was none other than his own father. The former thief was murdered by a criminal organization seeking a mythical stone called the Pandora Gem, said to shed a tear with the passing of the Valley Comet that comes every ten thousand years. When the tear is consumed, the gem supposedly grants immortality.

Vowing to bring those responsible for his father's death to justice, Kaito dons the Phantom Thief's disguise, stealing priceless jewels night after night to find the Pandora Gem before his enemies can use the power for themselves.","['Action', 'Adventure', 'Comedy', 'Mystery']",['JP'],ja,まじっく快斗1412,2014-10-04,2014,14826.0,75.97219749089437,8.438,6,7.3,14820.0,76.0,MANGA,False,68573,20790.0
